date,Arabian Sea heatwave_share,Arabian Sea deep_share_of_heatwave,Bay of Bengal heatwave_share,Bay of Bengal deep_share_of_heatwave
2023-08-22,0.6527820951196767,0.38142857142857145,0.13074885624849505,0.18232044198895028
2023-08-23,0.625951825951826,0.3800893743793446,0.13763440860215054,0.1597222222222222
2023-08-24,0.6375058166589112,0.3596107055961071,0.17953621802534067,0.07323568575233022
2023-08-25,0.6123982467125861,0.35736196319018404,0.1810365416766181,0.12269129287598944
2023-08-26,0.5856196783349101,0.3540656973613355,0.25951807228915663,0.15784586815227483
2023-08-27,0.5994966179015259,0.3665704539490947,0.3400673400673401,0.15275813295615276
2023-08-28,0.60671875,0.36698429049703835,0.3263234227701233,0.15259259259259259
2023-08-29,0.6338161209068011,0.368107302533532,0.2763697803524016,0.2052401746724891
2023-08-30,0.5654359780047132,0.3828841344818005,0.2405457156534227,0.2109452736318408
2023-08-31,0.5799620733249052,0.3809264305177112,0.2830414967618134,0.19830508474576272
2023-09-01,0.6176609475838186,0.3952599388379205,0.2973362131029518,0.24213075060532688
2023-09-02,0.5444427026179652,0.4249928016124388,0.23904191616766468,0.28857715430861725
2023-09-03,0.5160336239103362,0.40512820512820513,0.1985663082437276,0.30685920577617326
2023-09-04,0.5267675979397534,0.3887407407407407,0.08850190839694656,0.32075471698113206
2023-09-05,0.5581395348837209,0.37894144144144143,0.060238095238095236,0.4743083003952569
2023-09-06,0.5540179273470671,0.39398240136247514,0.03306374881065652,0.2589928057553957
2023-09-07,0.5223997493734336,0.40899550224887554,0.05966246731637746,0.30278884462151395
2023-09-08,0.561395276083216,0.4137642797436612,0.09777671527611762,0.24938875305623473
2023-09-09,0.5425946114312412,0.4242250287026406,0.11654676258992806,0.24074074074074073
2023-09-10,0.5045672704753058,0.41761276465173364,0.08650850706925474,0.22160664819944598
2023-09-11,0.516568597088882,0.39568345323741005,0.071531445031205,0.2516778523489933
2023-09-12,0.492435937017598,0.3843260188087774,0.05731414868105516,0.3054393305439331
2023-09-13,0.47710693776191215,0.36694860117111255,0.04678920983528288,0.29591836734693877
2023-09-14,0.39325842696629215,0.35772994129158514,0.06171074577078866,0.277992277992278
2023-09-15,0.3001381003529231,0.3716768916155419,0.07274028142141664,0.26557377049180325
2023-09-16,0.38229870928088505,0.38102893890675243,0.05040611562350693,0.5023696682464455
2023-09-17,0.34443256453337406,0.3303769401330377,0.06708193579300431,0.3964285714285714
2023-09-18,0.37507626601586336,0.3481089873932493,0.07267020762916465,0.4950166112956811
2023-09-19,0.3429833917415816,0.3811639271434918,0.04427776433583353,0.453551912568306
2023-09-20,0.362429421638944,0.4088421052631579,0.10026835813613076,0.5547445255474452
2023-09-21,0.3230041215081667,0.4499054820415879,0.10911736178467507,0.5222222222222223
2023-09-22,0.36739696644706604,0.42827356130108424,0.12557242709086527,0.5585412667946257
2023-09-23,0.3835721991061797,0.4909602249899558,0.08363548465071308,0.6069364161849711
2023-09-24,0.3786229105965343,0.5637910085054678,0.07256126862085535,0.5794701986754967
2023-09-25,0.36839687643546165,0.5689941812136325,0.10538922155688622,0.4772727272727273
